labels,text
sadness,"When I was years old, I got a cat, but after days he died. I was very sad, because I had nursed him and taken him to the veterinary's - but in vain. Although I had had him only for a short time I had liked him very much. "
disgust,"Coming home one night - my sister was home, and had been drinking heavily and started picking arguments. "
joy,I was very pleased and happy when my older sister came home from living somewhere out of town and I hadn't seen her for months. We are very close sisters. 
sadness,My father dying. 
shame,In I failed my Examination because of my own crooky behaviour of dodging from Examinations. 
anger,"A few months ago when I was teaching, I suddenly became very angry at the children and slapped some of them. "
sadness,Not getting on with someone of my classmates in high school. 
joy,"I have a girlfriend, who is almost like a daughter to me. She is studying out of station and I get to see her only once a year. Her arrival is always a joyous one. "
anger,Being told that I am a stupid person. 
sadness,"When the guy I was in love with told me that he had met someone else and that we would not meet again for a year. Although we did not have a steady relatioship, we were having an affair. "
disgust,"Out of sheer curiosity, I went to see a pornographic movie in Copenhagen. The room was full of men, who panted and masturbated. Very disgusting. "
anger,"I felt much anger when my fahter interferred in my relations with another person whom I liked very much, ending something that I adored. "
joy,When my son was born. 
sadness,A close friend of mine was to get married in a weeks time when her father died of a heart-attack. I knew him well and felt bad on hearing of his death. 
joy,"This happened a year when I was having a hard time, I got admission to do research despite obstacles in the procedure of admission. "
fear,We were on the road in a car when a lorry bypassed us. We had to swerve and we almost got run over. 
joy,The time when my sister had her first baby I was so happy and joyous because she stayed for two days after marriage before she had a child. 
disgust,Someone called me a disgusting nickname. 
sadness,"Summer, heavy rain, storm - I was standing with my face stick to the window the childhood, something was going away forever this summer, I was leaving my home, I was going to study in another town, for the first time I was leaving my parents, friends, I had to manage myself, a long and loved period of my life was over - I was crying. "
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. 
shame,During my childhood I once lied and my sister found out. 
fear,"When I came back from work one day, the friends of my son told me that he had not come back from school and that he was lost. "
fear,Before important sports events. 
shame,When I asked a friend to return the money that I had loaned her and then remembered that she had repayed me in several ways. 
sadness,To buy a car and didn't like the business and the car. 
shame,When I had to prepare and read a paper to my fellow students but I didn't cope with the task. 
disgust,"When I heard about the way a parent of a friend had mistreated him, and caused a great instability. "
guilt,"I came across a blind man sitting in one of the corridors and asking for money, though I had some money I did not give him anything. "
guilt,"When I have sometimes been unfair to my parents, when I have happened to deceive them over some trifling things. "
disgust,"One day I was in the countryside with several friends, and we began to eat figs, after we were all full we noticed that all the figs were full of worms. "
sadness,When I received a message that my brother was seriously ill and was in hospital. 
anger,"My life-partner, who was drinking more and more, spoke about kicking the cat. He had never done anything of the kind, but I knew that he would do so one day, without thinking about it. "
fear,"Once at midnight, I was working alone at office and the phone suddenly rang. "
guilt,When I beat up my son for having beaten up his sister. 
joy,When I got my results ( I had made it to the second year ). 
shame,When I tripped while getting on a bus. 
disgust,Not applicable. 
shame,Not being able to convince my class leader that my friend is better than me to go to the English lectures. 
joy,When I passed the grade exam. 
fear,"I was spending my summer holidays in a village. My friend and I were coming back from a discotheque at night and we heard a noise from an alley. We were very scared and we got into my friend's house. A moment later, an unknown car picked up a person from this alley. "
shame,I was ashamed when my boyfriend went to sit with another girl when he invited me to come to watch Drama festival. 
guilt,We were at secondary school and I was making a lot of noise. The teacher came to ask us as to who was making all the noise. I did not own up so the whole class was punished. 
sadness,When I thought for an instant that a very good relationship with a person had finished. 
guilt,I wrote a bad letter to someone concerning our relationship which we created ourselves. 
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. "
joy,The day that my boyfriend appeared at home with a pair of rings for our wedding. 
joy,Joy for me is when all my family gather around home for special occasions as Christmas etc. It really gives me joy to see my family and relatives and to observe natures productivity process which have been going on for centuries. 
guilt,Not giving up something for Lent. 
shame,I lied to one of my best friends. 
joy,"I acted in an English play in college and got the Best Actress award, while our play got the first place. "
shame,When friends found out that I had been lying about where I had been on a particular occasion. 
fear,After having slept for a short time I woke up - I had the feeling of someone standing beside me and was very frightened. I had to turn on the light turn on the light for several minutes before I was able to get to sleep again. 
joy,"The day the results of the university entrance exam was published, I found my canditate number and I was very excited. "
anger,When I heard that my step-mother had treated my mother in a wrong manner. 
sadness,When I was accused of neglecting work for the wrong reasons. 
disgust,When I stand at the bus stop for one hour waiting for the bus to arrive. 
sadness,My girlfriend who had spent months abroad broke off our relationship by letter. 
shame,"I had obviously done the work badly but my class-mates of the student's association did not blame me, they helped me do the work. "
guilt,When I sided with my mother in a quarrel she had with my father before they briefly separated. 
disgust,Whenever I see a spider or a snake I feel disgusted. 
joy,When I heard that I had been selected for the university. 
joy,When I got the scholarship letter from Australia. 
fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me. 
guilt,When my parents quarelled over something I had done and which was wrong. 
guilt,"I was so excited once that I told my classmate that she was old, this hurt her and I felt guilty. "
anger,I had planned to go to town with my friend at hours but she went for the registration and I waited for a good and a / hours. It was vital for me to go to town but I could not as it was she who had the money. Finally I borrowed some money from friends and we went to town. I was really angry with my friend. 
joy,"Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not. "
anger,Brother continually interupting while I was talking on the telephone. 
anger,When the dean of UNZA asked me to vacate a big flat I was occupying and take up a smaller one as I was becoming a full time student at UNZA. 
guilt,It is some years ago when my mother found me stealing relish in the pot. It was fresh fish which was very appetising. 
guilt,When a patient had died soon after I had told the guardian to wait outside the ward. 
guilt,When I shout at a colleague in classroom. 
joy,When I won the first prize in a cross country race. 
shame,I saw a bag on the street and just then a stranger passed by. I picked up the bag immediately and gave it to the stranger as I thought that it belonged to him. But it was not his bag and I felt ashamed. 
joy,I started a new branch of studies after having failed a former one. When I got back my exam papers I was very happy to know that I almost had full marks. 
fear,I felt it at the same time when I felt disgust. 
disgust,"During these Summer vacations a schoolmate who was not in my class went to Britain. Before he left, his classmates and some of us who were accquainted with him had a B. B. Q on the beach. When I arrived I saw that some people , who were not close friends of the departing person(person A), were playing mahjong. Some others were playing bridge and A had nothing to do, besides it was A who had prepared the food. Later when we wanted to talk and his classmates did not even have the decency to listen to him. They only asked him a few questions half-heartedly and then they talked on their own. Some of their conversation was against me and another classmate. "
disgust,A girl I do not like kept coming to me and talking to me. 
shame,When I do something unworthy. 
joy,It was in September when MCE results were being announced on the radio. When I heard my name that I had done well I just kept quiet. I was so happy that I couldn't even talk. 
anger,When a close friend failed to live up to the expectations I had of him - thereby causing pain to his spouse. I believe that my anger was probably a reaction of fear that I wouldn't be able to live up to my own expectations. 
joy,I felt joyful when I heard that I had been selected for College education. 
sadness,"A relative, whom I like very much, left for the United States. "
anger,"A friend came to visit me late one night. He promised to stay only a quarter of an hour, but he stayed hours ! ! He didn't leave and I was very angry. "
shame,In a school parting we agreed to go to a restaurant. We met at school and we separated us in several cars. My car broke and we arrived late. All those who already had arrived stand up and applauded us when we entered two hours late. All the restaurant attention was turned on us. 
joy,"I wanted to go out to walk but I didn't know either where or with whom, suddenly an invitation appeared. "
