labels,text
surprise,Thinks that  had a great th birthday party ) 
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. "
joy,the moment when you get another follower and you cheer. 
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits 
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . 
joy,If ur heart hurts all the time for tht person something isn't right where's the 
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . "
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match 
fear,Making art and viewing art are different at their core! 
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning "
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. "
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! "
surprise,People know they can pull you down and they dont give a care 
sadness,My heart and soul  is leaving me and I can't even see here 
joy,chips and curry sauce 
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! "
joy,Oh and off to work till midnight -. - 
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. 
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. 
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? 
fear,large crowds of manic football fans amp mascots 
joy,There is no concrete equation for joy. you can't explain how to get in your life. 
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore 
joy,All my battles r surely handled properly amp never by me . . . it feels so good 
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml 
joy,Nobody up worth talking too so back to sleep I try to go! 
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their "
fear,Someone on my high school football team is also called Moriarty. 
anger,I just absolutely lost my mind. . ( 
joy,Christmas lights? Check! ) now its time to decorate inside. . 
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. "
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot 
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already 
sadness,sounds awful but alot of people are dying recently (( 
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About 
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie 
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night 
sadness,Feeling left out. . . I guess I always have my boyfriend. 
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx 
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad 
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God "
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait "
sadness,I only have two class periods left with my favorite teacher. 
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck 
sadness,been awake since am. too tired for black friday fun. 
surprise, when u get a chance u should leave that piece out for min then turn the lights out 
surprise, I would feel obligated if you knew when it happened. It's all about the element of 
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. "
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. "
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross 
sadness,I can't believe I'm saying this but Room by is a big ass simp album. 
fear,Waiting for the start of from  The return of SuperDragon will be a great night! 
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. "
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS 
joy,Guess I better start my psychology paper that's due Monday. 
joy,literally haven't seen the sun in a week and it's finally coming out! 
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! "
joy,Now for the painful walk downstairs 
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow 
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | 
fear,People are more likely to die in hospital at the weekend? 
joy,"Can honestly say, don't think I've ever done so shit in an exam before "
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD 
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. 
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. "
joy,The world didnt give it and the world cant take it away 
joy,time to start this research paper 
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! 
joy,Ready to knock some out before . am today 
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success 
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding 
joy,Just had possibly the most awkward conversation in my life. 
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? 
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D "
joy,Gotta take a customer out for dinner tonight. not 
