label,text,avg_attention
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,0.031440046
shame,"I was worried by a task related to my studies which had to be done in groups of two. I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner. I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine. ",0.036142882
fear,Risk of being involved in a fight after a party. ,0.07345716
disgust,When I was on holiday someone vomited in front of me. ,0.07802832
disgust,"When I was working as a nurse in a mental hospital, a patient ate up the contents of another patient's spitoon. ",0.059278633
guilt,When I decided to take a week s holiday without consulting the family first. ,0.05276672
joy,After my girl and I talked things over our relationship changed and became positive. A diificult time turned into pleasant one. ,0.020405067
shame,When I was a child it was found out that I had taken off my clothes outdoors. It was summer and my friend and I were out in the woods. It had felt exciting at that time. My parents discovered that my trousers were back to front and I felt ashamed. ,0.07429043
fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand. ",0.04302984
guilt,"When ,due to hunger and tiredness, I became generally irritated with my fiancee and made cutting remarks which really hurt him. Later I realized that my unfounded irritation had hurt the person I love most on earth. ",0.11016854
shame,"When as an year old, I wet myself in school. ",0.08932552
shame,On the train a drunk person touched my baby and I reacted very disapprovingly. I felt ashamed later as the person had not been aggressive though he could have been. ,0.035801772
shame,"I insulted a couple of good friends of mine and even tried to hit them when I was drunk. The next day, I was ashamed of course. ",0.061453685
disgust,"When I was touring Asia with my present football team, I saw old Europeans with young asiatic prostitutes. ",0.07415147
anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin. ",0.053417787
joy,"I was in hospital, and then was visited by someone quite unexpected. ",0.060379144
anger,"Being subject to unfair treatment in a working group, someone ""bending the rules"" was protected by the boss. This resulted in more work for the others. ",0.04103002
joy,"Receiving a postcard form my sweetheart who was abroad on vacation, not being at all sure if he would write me or not. ",0.06731728
fear,Going home alone through the forest after a girl guide (scout ? ) meeting. ,0.07064659
disgust,"Having been unjustly punished, I feel disgust towards the person responsible. ",0.063312314
shame,I made a major mistake while learning how to use a computer programme and the teacher criticized me. ,0.087314546
guilt,I had quarelled with a friend of mine and I later realized that it was also my fault. ,0.1296212
shame,"On the way back from a Summer spent in Sweden, I drunk with a man in the train. I had drunk so much that when I got home I fell asleep in the entrance hall. I have never drunk that much, neither before nor after that incident. I was ashamed because my mother and my sister had to see me in that state and my father had to carry me to bed. ",0.055175874
shame,"While quarelling with a fellow worker of mine, I was vehement and irritated and I told him what I thought of him in plain language. I was ashamed of myself when I met him the next day. ",0.059552696
shame,"At school I was talking to a classmate about mathematics. I had grown weary of it and said ""I would like to throw the book on the arse of Kuikka"". My classmate said ""Now, he is sitting there and waiting for the book"" (Kuikka was one of the most quiet boys of the class). I was ashamed of myself. ",0.09257891
joy,"[ During inter-rail-trip, after troubles, I met my little sister. ] ",0.086907856
shame,"My love and me rented a room in a hotel one evening. We stayed there a few hours and when leaving the hotel, I felt ashamed. ",0.069570735
disgust,When I noticed two spiders running on the floor in different directions. ,0.04912136
disgust,"A man tried to have sexual intercourse with me, though I had communicated my unwillingness. Later on, I felt disgust at that person as well as myself because I had partly submitted. ",0.045295607
shame,"While working as a domestic helper, one day I had not cleaned up very well and they made a remark about it. ",0.060681403
shame,My friend told me in a fairly loud voice the blunders she committed last night. ,0.08041862
sadness,"The fact that my mother is getting married again (my mother and father divorced about years ago) means that she will probably move to Turku, and our home, which is a one family house, will be sold (I myself have not been living at home for the past six years). ",0.043673944
disgust,"Father said If you are pregnant, you will have to procure abortion. I was filled with disgust against my father. ",0.019027656
