label,text,avg_attention
disgust,When I was on holiday someone vomited in front of me. ,0.080590844
disgust,The first time that I saw a surgeon cut off a leg and put it in a black rubbish bag. ,0.032713965
guilt,When I pulled a chair from under someone at kindergarten and he hit his head. ,0.03976719
joy,"In the underground's escalator, a youngish bum asked me for money. Although I did not give him anything, the fellow told me that I was really good-looking. A man who was in front of me also turned to look at me. ",0.034582306
shame,I was wearing slippery shoes and I tumbled down in a place where there were many people walking by. ,0.0520862
disgust,"When I was touring Asia with my present football team, I saw old Europeans with young asiatic prostitutes. ",0.04647557
disgust,Seeing a pornographic film when looking for a place to live. ,0.041537594
disgust,"Spoilt, smashed and molded potatoes in the fridge, and having to clean up the dish later. ",0.03785256
shame,"On the way back from a Summer spent in Sweden, I drunk with a man in the train. I had drunk so much that when I got home I fell asleep in the entrance hall. I have never drunk that much, neither before nor after that incident. I was ashamed because my mother and my sister had to see me in that state and my father had to carry me to bed. ",0.047552586
disgust,"In a lift a drunken, fat and untidy man tried to make advances at me. ",0.036077183
shame,Somebody who knows me very well discovered that I had told him a lie. ,0.054390196
shame,"When I went to a sauna with my father for the first time (I was ). When I entered the sauna naked, I felt ashamed for a short time. ",0.07151341
shame,During the oral part of my final examination I made a mistake in speaking so that all the teachers laughed at me. ,0.044062898
disgust,At the butcher's I saw an animal which had just been slaughtered blood was dripping on the floor. ,0.033256166
disgust,"When my grandmother was about years old, she lived with us for several years. I saw her illness. I did not even want to breath the air that smelled of her presence. ",0.058203015
disgust,"When I was a child, I was sometimes forced to eat things that disgusted me. ",0.03896512
shame,When I made a fool at an examination. ,0.035793602
disgust,I read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels. ,0.05502772
joy,Emotional reassurances by spouse. ,0.10090663
guilt,"I wasn't able to see my girlfriend on her birthday and because I was late arriving home from uni, I didn't phone her as arranged at a certain time (she rang in the meantime). ",0.07434342
disgust,When after a party celebrating a friend's st birthday - upon leaving I found people outside throwing up and further unconscious. ,0.036564913
fear,Walking along with a dog barking at you and following you. ,0.05590863
shame,I bacame involved with a boy for a very brief moment not because I liked him but because I needed some sort of company. The consequences weren't as I expected and caused me much shame. ,0.038963456
fear,I was bitten by a dog. ,0.049429987
